fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:31:32,binancecoin,bnb,BNB,651.72,88872802333,1809005151,667.0,631.28,0.11140783283567798,-0.6373365670885925,2026-02-07T19:30:27.613Z
2026-02-08T01:31:32,solana,sol,Solana,88.46,50191579264,6422004407,89.4,84.66,0.46904124956232834,2.8300911013678953,2026-02-07T19:30:26.176Z
2026-02-08T01:32:32,bitcoin,btc,Bitcoin,69318,1387334942601,78902371143,71604,67656,0.07723156405208526,-1.4373284776489188,2026-02-07T19:32:32.555Z
2026-02-08T01:32:32,ethereum,eth,Ethereum,2086.72,252473638999,46354634534,2113.07,2001.54,-0.2576781779177773,1.7047622356711618,2026-02-07T19:32:32.096Z
2026-02-08T01:32:32,binancecoin,bnb,BNB,650.99,88872802333,1816888911,667.0,631.28,-0.2000948328306617,-0.6586954583085849,2026-02-07T19:32:32.039Z
2026-02-08T01:32:32,solana,sol,Solana,88.37,50174480842,6579995986,89.4,84.66,0.19658017267990818,2.544915960932331,2026-02-07T19:32:32.376Z
2026-02-08T01:33:32,bitcoin,btc,Bitcoin,69318,1387334942601,78902371143,71604,67656,0.07723156405208526,-1.4373284776489188,2026-02-07T19:32:32.555Z
2026-02-08T01:33:32,ethereum,eth,Ethereum,2086.72,252473638999,46354634534,2113.07,2001.54,-0.2576781779177773,1.7047622356711618,2026-02-07T19:32:32.096Z
2026-02-08T01:33:32,binancecoin,bnb,BNB,650.99,88872802333,1816888911,667.0,631.28,-0.2000948328306617,-0.6586954583085849,2026-02-07T19:32:32.039Z
2026-02-08T01:33:32,solana,sol,Solana,88.37,50174480842,6579995986,89.4,84.66,0.19658017267990818,2.544915960932331,2026-02-07T19:32:32.376Z
2026-02-08T01:34:32,bitcoin,btc,Bitcoin,69330,1387334942601,78067170552,71604,67656,0.094530190108612,-1.420291647481348,2026-02-07T19:34:27.044Z
2026-02-08T01:34:32,ethereum,eth,Ethereum,2085.91,252473638999,40130634556,2113.07,2001.54,-0.2962914030522893,1.665389291371117,2026-02-07T19:34:32.276Z
2026-02-08T01:34:32,binancecoin,bnb,BNB,650.24,88872802333,1783235188,667.0,631.28,-0.31445078087316974,-0.772525917782626,2026-02-07T19:34:32.150Z
2026-02-08T01:34:32,solana,sol,Solana,88.37,50174480842,6645875407,89.4,84.66,0.20090631682407756,2.549343498149012,2026-02-07T19:34:30.579Z
2026-02-08T01:35:32,bitcoin,btc,Bitcoin,69330,1387334942601,78067170552,71604,67656,0.094530190108612,-1.420291647481348,2026-02-07T19:34:27.044Z
2026-02-08T01:35:32,ethereum,eth,Ethereum,2085.91,252473638999,40130634556,2113.07,2001.54,-0.2962914030522893,1.665389291371117,2026-02-07T19:34:32.276Z
2026-02-08T01:35:32,binancecoin,bnb,BNB,650.24,88872802333,1783235188,667.0,631.28,-0.31445078087316974,-0.772525917782626,2026-02-07T19:34:32.150Z
2026-02-08T01:35:32,solana,sol,Solana,88.37,50174480842,6645875407,89.4,84.66,0.20090631682407756,2.549343498149012,2026-02-07T19:34:30.579Z
2026-02-08T01:36:32,bitcoin,btc,Bitcoin,69317,1385612399238,78590661056,71604,67656,-0.16132414460647354,-1.3853249664467506,2026-02-07T19:36:25.792Z
2026-02-08T01:36:32,ethereum,eth,Ethereum,2085.5,251753818984,44612788931,2113.07,2001.54,-0.4969042187801839,1.6413111424953497,2026-02-07T19:36:25.426Z
2026-02-08T01:36:32,binancecoin,bnb,BNB,650.31,88666672002,1798254233,667.0,631.28,-0.38629949229288535,-0.9528640990523897,2026-02-07T19:36:24.773Z
2026-02-08T01:36:32,solana,sol,Solana,88.38,50132575574,6640971495,89.4,84.66,-0.06484271759969093,2.182314772901492,2026-02-07T19:36:24.985Z
2026-02-08T01:37:32,bitcoin,btc,Bitcoin,69317,1385612399238,78590661056,71604,67656,-0.16132414460647354,-1.3853249664467506,2026-02-07T19:36:25.792Z
2026-02-08T01:37:32,ethereum,eth,Ethereum,2085.5,251753818984,44612788931,2113.07,2001.54,-0.4969042187801839,1.6413111424953497,2026-02-07T19:36:25.426Z
2026-02-08T01:37:32,binancecoin,bnb,BNB,650.31,88666672002,1798254233,667.0,631.28,-0.38629949229288535,-0.9528640990523897,2026-02-07T19:36:24.773Z
2026-02-08T01:37:32,solana,sol,Solana,88.38,50132575574,6640971495,89.4,84.66,-0.06484271759969093,2.182314772901492,2026-02-07T19:36:24.985Z
2026-02-08T01:38:32,bitcoin,btc,Bitcoin,69369,1386386982430,78790904734,71604,67656,-0.08710402506279517,-1.3120147697014286,2026-02-07T19:38:27.771Z
2026-02-08T01:38:32,ethereum,eth,Ethereum,2089.65,252205667865,45887174699,2113.07,2001.54,-0.29872726303581937,1.8437467095693063,2026-02-07T19:38:27.889Z
2026-02-08T01:38:32,binancecoin,bnb,BNB,650.8,88743344250,1817739970,667.0,631.28,-0.31124003636185205,-0.8782315525817659,2026-02-07T19:38:28.045Z
2026-02-08T01:38:32,solana,sol,Solana,88.42,50132575574,6636697456,89.4,84.66,-0.021780708039147747,2.2263450815068504,2026-02-07T19:38:23.357Z
2026-02-08T01:39:32,bitcoin,btc,Bitcoin,69369,1386386982430,78790904734,71604,67656,-0.08710402506279517,-1.3120147697014286,2026-02-07T19:38:27.771Z
2026-02-08T01:39:32,ethereum,eth,Ethereum,2089.65,252205667865,45887174699,2113.07,2001.54,-0.29872726303581937,1.8437467095693063,2026-02-07T19:38:27.889Z
2026-02-08T01:39:32,binancecoin,bnb,BNB,650.8,88743344250,1817739970,667.0,631.28,-0.31124003636185205,-0.8782315525817659,2026-02-07T19:38:28.045Z
2026-02-08T01:39:32,solana,sol,Solana,88.42,50132575574,6636697456,89.4,84.66,-0.021780708039147747,2.2263450815068504,2026-02-07T19:38:23.357Z
2026-02-08T01:40:32,bitcoin,btc,Bitcoin,69379,1386386982430,78614381053,71604,67656,-0.07178553430958187,-1.307446700229939,2026-02-07T19:40:28.434Z
2026-02-08T01:40:32,ethereum,eth,Ethereum,2090.75,252205667865,41810942490,2113.07,2001.54,-0.38079570076772173,1.8772560950921064,2026-02-07T19:40:28.456Z
2026-02-08T01:40:32,binancecoin,bnb,BNB,651.05,88743344250,1791796016,667.0,631.28,-0.273876723649738,-0.8410807480935817,2026-02-07T19:40:28.196Z
2026-02-08T01:40:32,solana,sol,Solana,88.4,50158495966,6524652945,89.4,84.66,-0.04013208180636025,2.2075810558947477,2026-02-07T19:40:21.140Z
2026-02-08T01:41:32,bitcoin,btc,Bitcoin,69379,1386386982430,78614381053,71604,67656,-0.07178553430958187,-1.307446700229939,2026-02-07T19:40:28.434Z
2026-02-08T01:41:32,ethereum,eth,Ethereum,2090.75,252205667865,41810942490,2113.07,2001.54,-0.38079570076772173,1.8772560950921064,2026-02-07T19:40:28.456Z
2026-02-08T01:41:32,binancecoin,bnb,BNB,651.05,88743344250,1791796016,667.0,631.28,-0.273876723649738,-0.8410807480935817,2026-02-07T19:40:28.196Z
2026-02-08T01:41:32,solana,sol,Solana,88.4,50158495966,6524652945,89.4,84.66,-0.04013208180636025,2.2075810558947477,2026-02-07T19:40:21.140Z
2026-02-08T01:42:32,bitcoin,btc,Bitcoin,69383,1386698780867,78468755598,71604,67656,-0.10073821673711582,-1.302833336287492,2026-02-07T19:42:33.012Z
2026-02-08T01:42:32,ethereum,eth,Ethereum,2092.07,252491488903,45463583689,2113.07,2001.54,-0.31774226558803104,1.941738751911783,2026-02-07T19:42:32.655Z
2026-02-08T01:42:32,binancecoin,bnb,BNB,651.12,88790212732,1805809355,667.0,631.28,-0.3611689042975547,-0.7424469450416885,2026-02-07T19:42:32.598Z
2026-02-08T01:42:32,solana,sol,Solana,88.4,50158495966,6519875681,89.4,84.66,-0.2224124457901933,1.9937202239648584,2026-02-07T19:42:30.093Z
2026-02-08T01:43:32,bitcoin,btc,Bitcoin,69383,1386698780867,78468755598,71604,67656,-0.10073821673711582,-1.302833336287492,2026-02-07T19:42:33.012Z
2026-02-08T01:43:32,ethereum,eth,Ethereum,2092.07,252491488903,45463583689,2113.07,2001.54,-0.31774226558803104,1.941738751911783,2026-02-07T19:42:32.655Z
2026-02-08T01:43:32,binancecoin,bnb,BNB,651.12,88790212732,1805809355,667.0,631.28,-0.3611689042975547,-0.7424469450416885,2026-02-07T19:42:32.598Z
2026-02-08T01:43:32,solana,sol,Solana,88.4,50158495966,6519875681,89.4,84.66,-0.2224124457901933,1.9937202239648584,2026-02-07T19:42:30.093Z
2026-02-08T01:44:32,bitcoin,btc,Bitcoin,69332,1386698780867,78615641387,71604,67656,-0.17290727714801377,-1.3741339811189968,2026-02-07T19:44:24.490Z
2026-02-08T01:44:32,ethereum,eth,Ethereum,2090.77,252491488903,45352607842,2113.07,2001.54,-0.3795186737058919,1.8785620683121655,2026-02-07T19:44:24.601Z
2026-02-08T01:44:32,binancecoin,bnb,BNB,650.65,88790212732,1810473136,667.0,631.28,-0.43427074750134836,-0.8152690566664881,2026-02-07T19:44:24.744Z
2026-02-08T01:44:32,solana,sol,Solana,88.38,50150116680,6509649182,89.4,84.66,-0.24509948514598398,1.9705292889915367,2026-02-07T19:44:31.862Z
2026-02-08T01:45:32,bitcoin,btc,Bitcoin,69332,1386698780867,78615641387,71604,67656,-0.17290727714801377,-1.3741339811189968,2026-02-07T19:44:24.490Z
2026-02-08T01:45:32,ethereum,eth,Ethereum,2090.77,252491488903,45352607842,2113.07,2001.54,-0.3795186737058919,1.8785620683121655,2026-02-07T19:44:24.601Z
2026-02-08T01:45:32,binancecoin,bnb,BNB,650.65,88790212732,1810473136,667.0,631.28,-0.43427074750134836,-0.8152690566664881,2026-02-07T19:44:24.744Z
2026-02-08T01:45:32,solana,sol,Solana,88.38,50150116680,6509649182,89.4,84.66,-0.24509948514598398,1.9705292889915367,2026-02-07T19:44:31.862Z
2026-02-08T01:46:32,bitcoin,btc,Bitcoin,69296,1386698780867,78091839090,71604,67656,-0.22471073956522816,-1.7806783849581516,2026-02-07T19:46:16.876Z
2026-02-08T01:46:32,ethereum,eth,Ethereum,2091.77,252491488903,45257259036,2113.07,2001.54,-0.33228899112019156,1.46866236837826,2026-02-07T19:46:15.774Z
2026-02-08T01:46:32,binancecoin,bnb,BNB,650.48,88790212732,1796935598,667.0,631.28,-0.5488401140219059,-0.8410782333339145,2026-02-07T19:46:33.054Z
2026-02-08T01:46:32,solana,sol,Solana,88.35,50150116680,6499387393,89.4,84.66,-0.2775351050122327,1.937373250456012,2026-02-07T19:46:30.329Z
